ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
20924;PERFUMERIA Y COSM…TICA DIVA LTDA;AVDA. BERNARDO OHIGGINS 255 LOCAL 8;FARMACIA Y PERFUMERIA;COMERCIALES
20927;BRATZ GOLDAMMER LUTZ HARRO;CABURGUA S/N;RESTAURANT COMERCIAL;COMERCIALES
20928;ACU—A† SALINAS† RUBEN† SERGIO;PALGUIN 550;VENTA DE PASAJES;COMERCIALES
20929;BARTH ANDREAS;CARHUELLO CABURGUA PUCON S/N;HOSTERIAS;COMERCIALES
20942;PALMA AGUILERA JUAN CARLOS;CAMINO AL VOLCAN† KM.6;ARTICULOS TIPICOS (ARTESANIA);COMERCIALES
20943;CONTRERAS POBLETE PAULINA FERNANDA;CAMINO INTERNACIONAL 2980;HOSTERIA - RESIDENCIAL;COMERCIALES
20947;PROPIEDADES PROCASA MONTALVA PUCON Y CIA LTDA.;COLO COLO 143;CORRETAJES;COMERCIALES
20958;SPACIOHOGAR† PUCON S.A.;CALLEJON EL TRIUNFO 114;BARRACAS DE MADERA;COMERCIALES
20964;OKASHI† SANCHEZ† GIDON;CAMINO INTERNACIONAL 2120;CABA—AS;COMERCIALES
20970;MARQUEZ OVANDO OSCAR ANTONIO;PALGUIN 383-D;VENTA Y ARRIENDO DE EQUIPO DEPORTIVO Y SER. TUR.;COMERCIALES
20973;ORTIZ RIVERA JUVENAL EDUARDO;CQMINO PLAYA BLANCA† CABURGUA S/N;ARRENDAMIENTO DE CABA—AS;COMERCIALES
20974;JORGE RAUL MU—OZ ROJAS;ARAUCO 860;REPARACION DE AUTOMOVILES Y VTA. ACCESORIOS;COMERCIALES
20977;EMP. DE TRANSP. RURALES LTDA. TUR BUS;AV. B. OHIGGINS 910;ENCOMIENDAS;COMERCIALES
20978;INM. E INVERSIONES ANDO S.A.;AV. B. OHIGGINS 910;TERMINAL DE BUSES;COMERCIALES
20979;EMP. DE TRANSP. RURALES LTDA. TUR BUS;AV. B. OHIGGINS 910;VENTA DE PASAJES;COMERCIALES
20990;CHOCOLATES CASSIS LIMITADA;FRESIA 223;PASTELERIA;COMERCIALES
20991;LAGOS ARCOS† ROSA ELVIRA;C. INTERNACIONAL 2170;CABA—AS;COMERCIALES
20992;GRAMER WEISSER ARNOLDO FRANCISCO;CABURGUA S/N;CAMPING - CABA—AS;COMERCIALES
21004;HILCIA HODES SALDIAS RAMIREZ;MIGUEL ANSORENA† 475 LOCAL 13;ARTICULOS TIPICOS (ARTESANIA);COMERCIALES
21012;FARMACIAS CRUZ† VERDE S.A.;AV. B. OHIGGINS 400;FARMACIA Y PERFUMERIA;COMERCIALES
21025;SALAZAR† SILVA ANA† MARIA;CABURGUA S/N;CABA—AS;COMERCIALES
21028;AGUILERA REBOLLEDO MARLENE DEL CARMEN;LOS TULIPANES 81;PROVISIONES BAZAR LIBRERIA Y FOTOCOPIAS;COMERCIALES
21029;INSTITUCION EDUCACIONAL RAITRAI LTDA;PALGUIN 222;JARDINES INFANTILES Y PARVULOS;COMERCIALES
21044;COMERCIAL MADISON S.A.;AV. B. OHIGGINS 112 LOCAL N∫ 7;VENTA Y CONFECCION ARTICULOS DE VESTIR Y CALZADOS;COMERCIALES
21054;SANTIAGO DOMINGUEZ VILMA;CAMINO AL VOLCAN† KM 2.3;CAMPING - CABA—AS;COMERCIALES
21055;SUPERMERCADOS ELTIT LIMITADA;AV. B. OHIGGINS 672;SUPERMERCADOS;COMERCIALES
21058;MAN Y NATURE CIA LTDA;COLO COLO 111;TURISMO AVENTURA MONTA—A;COMERCIALES
21063;OPERACIONES TURISTICAS S.A.;CLEMENTE HOLZAPFEL† 190;SERVICIOS TURISTICOS;COMERCIALES
21066;MOLINA CALFUNAO JOSE MIGUEL;CAM. INTERNACIONAL PUCON - CURARREHUE 2215;PASTELERIA;COMERCIALES
21069;COMUNICACIONES PUCON LIMITADA;C. INTERNACIONAL 2000;INTERNET;COMERCIALES
21078;SOCIEDAD COMERCIAL BENAVENTE† CARTES;C. INTERNACIONAL KM 4.5;COMPRA Y VENTA DE MADERAS;COMERCIALES
21089;CARRASCO TARDON XIMENA DE LOURDES;FRESIA 135 - A;RESTAURANT COMERCIAL;COMERCIALES
21091;COMERCIALIZADORA DE EVENTOS Y RESTAURANT EL KRATER LIMITADA;AVDA. BERNARDO OHIGGINS 447-B;RESTAURANT COMERCIAL;COMERCIALES
21095;GUTIERREZ VILLARROEL† LUIS ALFREDO;SABA ELTIT 850;FRUTAS Y VERDURAS;COMERCIALES
21096;PALACIOS AVILES LAURA;ARAUCO 336;RESTAURANT COMERCIAL;COMERCIALES
21097;TURISMO CH&CO LIMITADA;FRESIA 284;RESTAURANT COMERCIAL;COMERCIALES
21098;PERES AZOCAR† CARLOS† MAURICIO;PERU† 485;REPARACION DE ARTEFACTOS;COMERCIALES
21100;VASQUEZ PALMA FREDY;GENERAL URRUTIA† 384;ARTICULOS DE PESCA Y ARTESANIA;COMERCIALES
21103;KUDEN SOCIEDAD ANONIMA;MIGUEL ANSORENA† 121;RESTAURANT COMERCIAL;COMERCIALES
21105;SALAZAR VILLABLANCA MIRIAM LUISA;ESCHPROENLE N∫ 670;CONFECCION DE PRENDAS DE VESTIR BAZAR Y CYBER MEF;COMERCIALES
21106;MONSALVES SEPULVEDA ANA MARIA;CAMINO AL VOLCAN† KM. 6;ARTICULOS TIPICOS (ARTESANIA);COMERCIALES
21108;MU—OZ QUEZADA MORELY CAROLINA;CAMINO AL VOLCAN† KM. 6;RESTAURANT COMERCIAL;COMERCIALES
21112;CONTRERAS HEREDIA MARISOL DEL CARMEN;AVDA. BERNARDO OHIGGINS 255 NIVEL 2;RESTAURANT COMERCIAL;COMERCIALES
21115;YOLITO BALART ANTONIO E HIJOS LIMITADA;AVDA. BERNARDO OHIGGINS 311 LOCAL 5;RESTAURANT COMERCIAL;COMERCIALES
21119;EGIDIO RAFAEL OYARCE JUANICO;GENERAL URRUTIA† 407;RESTAURANT COMERCIAL;COMERCIALES
21120;QUINTANA CHAVEZ HERMINDA;GENERAL URRUTIA† 417;RESTAURANT COMERCIAL;COMERCIALES
21125;COMERCIAL SUIZA LIMITADA;AVDA. BERNARDO OHIGGINS 116;RESTAURANT COMERCIAL;COMERCIALES
21128;INOSTROZA LEIVA† SILVIA† MABEL;MIGUEL ANSORENA† 271;RESTAURANT COMERCIAL;COMERCIALES
21129;GUAJARDO HERNANDEZ GRACIELA HAYDEE;FRESIA 243 B;RESTAURANT COMERCIAL;COMERCIALES
