"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 28, 2017","7,224.00","7,256.80","7,250.00","7,151.20","199.07K","-0.45%"
"Feb 27, 2017","7,256.80","7,240.60","7,295.00","7,225.00","26.03K","0.22%"
"Feb 24, 2017","7,240.60","7,232.50","7,260.00","7,115.00","41.75K","0.11%"
"Feb 23, 2017","7,232.50","7,369.00","7,325.00","7,183.00","254.90K","-1.85%"
"Feb 22, 2017","7,369.00","7,300.00","7,380.00","7,320.00","97.44K","0.95%"
"Feb 21, 2017","7,300.00","7,300.40","7,320.00","7,250.00","372.67K","-0.01%"
"Feb 20, 2017","7,300.40","7,294.20","7,348.00","7,290.00","42.35K","0.08%"
"Feb 17, 2017","7,294.20","7,364.80","7,349.90","7,250.10","71.54K","-0.96%"
"Feb 16, 2017","7,364.80","7,333.00","7,388.50","7,251.00","224.08K","0.43%"
"Feb 15, 2017","7,333.00","7,272.20","7,345.10","7,200.00","104.45K","0.84%"
"Feb 14, 2017","7,272.20","7,392.10","7,390.00","7,152.50","182.44K","-1.62%"
"Feb 13, 2017","7,392.10","7,299.20","7,399.00","7,250.00","115.11K","1.27%"
"Feb 10, 2017","7,299.20","7,115.70","7,300.00","7,113.00","120.96K","2.58%"
"Feb 09, 2017","7,115.70","7,067.40","7,150.00","7,040.00","266.71K","0.68%"
"Feb 08, 2017","7,067.40","6,991.00","7,100.00","6,991.00","111.74K","1.09%"
"Feb 07, 2017","6,991.00","7,048.00","7,048.00","6,970.00","389.96K","-0.81%"
"Feb 06, 2017","7,048.00","7,103.80","7,100.00","7,010.00","101.65K","-0.79%"
"Feb 03, 2017","7,103.80","7,010.40","7,180.00","7,020.00","199.76K","1.33%"
"Feb 02, 2017","7,010.40","7,027.40","7,289.70","6,900.00","270.05K","-0.24%"
"Feb 01, 2017","7,027.40","7,021.60","7,100.00","7,010.00","188.79K","0.08%"
"Jan 31, 2017","7,021.60","7,046.60","7,120.00","6,951.00","283.78K","-0.35%"
"Jan 30, 2017","7,046.60","7,104.70","7,120.00","7,001.00","183.92K","-0.82%"
"Jan 27, 2017","7,104.70","7,194.20","7,200.00","7,100.00","96.43K","-1.24%"
"Jan 26, 2017","7,194.20","7,250.00","7,325.00","7,190.00","338.51K","-0.11%"
"Jan 25, 2017","7,201.80","7,100.60","7,249.00","7,100.00","141.30K","1.43%"
"Jan 24, 2017","7,100.60","7,138.10","7,290.00","7,080.00","137.36K","-0.53%"
"Jan 23, 2017","7,138.10","7,121.40","7,150.00","7,125.00","136.25K","0.23%"
"Jan 20, 2017","7,121.40","7,224.10","7,225.00","7,100.10","314.36K","-1.42%"
"Jan 19, 2017","7,224.10","7,233.80","7,233.00","7,208.00","66.78K","-0.13%"
"Jan 18, 2017","7,233.80","7,148.70","7,275.00","7,148.70","194.82K","1.19%"
"Jan 17, 2017","7,148.70","7,035.30","7,175.00","7,035.00","3.62M","1.61%"
"Jan 16, 2017","7,035.30","7,091.00","7,074.90","7,020.00","22.71K","-0.79%"
"Jan 13, 2017","7,091.00","7,153.50","7,200.00","7,075.00","491.68K","-0.87%"
"Jan 12, 2017","7,153.50","7,081.90","7,200.00","7,050.00","201.94K","1.01%"
"Jan 11, 2017","7,081.90","7,034.40","7,090.00","6,999.80","1.35M","0.68%"
"Jan 10, 2017","7,034.40","7,005.20","7,089.00","6,950.00","147.44K","0.42%"
"Jan 09, 2017","7,005.20","7,004.70","7,090.00","6,925.00","199.15K","0.01%"
"Jan 06, 2017","7,004.70","6,990.40","7,030.00","6,930.00","92.94K","0.20%"
"Jan 05, 2017","6,990.40","7,014.90","7,030.00","6,870.00","92.82K","-0.35%"
"Jan 04, 2017","7,014.90","7,006.80","7,078.00","6,962.00","540.45K","0.12%"
"Jan 03, 2017","7,006.80","7,106.90","7,150.00","6,965.00","47.51K","-1.41%"
"Dec 30, 2016","7,106.90","7,103.10","7,145.00","7,070.00","80.60K","0.05%"
"Dec 29, 2016","7,103.10","7,100.00","7,150.00","7,050.00","123.93K","0.04%"
"Dec 28, 2016","7,100.00","6,965.00","7,149.90","6,970.00","422.15K","1.94%"
"Dec 27, 2016","6,965.00","7,000.00","7,000.00","6,950.00","272.06K","-0.50%"
"Dec 26, 2016","7,000.00","6,761.30","7,000.00","6,761.30","176.71K","3.53%"
"Dec 23, 2016","6,761.30","6,858.70","6,850.00","6,735.00","24.71K","-1.42%"
"Dec 22, 2016","6,858.70","6,934.10","6,943.10","6,825.00","249.07K","-1.09%"
"Dec 21, 2016","6,934.10","7,041.20","7,166.00","6,900.00","165.70K","-1.52%"
"Dec 20, 2016","7,041.20","7,091.20","7,139.00","7,000.10","199.93K","-0.71%"
"Dec 19, 2016","7,091.20","7,077.30","7,200.00","7,048.00","84.89K","0.20%"
"Dec 16, 2016","7,077.30","7,154.40","7,200.00","7,035.10","425.68K","-1.08%"
"Dec 15, 2016","7,154.40","7,167.80","7,167.80","7,111.00","69.23K","-0.19%"
"Dec 14, 2016","7,167.80","7,234.90","7,200.00","7,140.00","121.49K","-0.93%"
"Dec 13, 2016","7,234.90","7,199.60","7,295.00","7,109.90","689.32K","0.49%"
"Dec 12, 2016","7,199.60","7,190.90","7,299.00","7,139.00","87.51K","0.12%"
"Dec 09, 2016","7,190.90","7,158.10","7,299.00","7,158.00","247.29K","0.46%"
"Dec 07, 2016","7,158.10","7,125.40","7,299.30","7,125.90","230.25K","0.46%"
"Dec 06, 2016","7,125.40","7,126.10","7,150.00","7,105.00","49.79K","-0.01%"
"Dec 05, 2016","7,126.10","7,149.30","7,150.80","7,100.10","1.35M","-0.32%"
"Dec 02, 2016","7,149.30","7,145.60","7,200.00","7,085.00","2.18M","0.05%"
"Dec 01, 2016","7,145.60","7,162.10","7,250.00","7,102.00","637.63K","-0.23%"
"Nov 30, 2016","7,162.10","7,108.70","7,440.00","7,055.00","349.17K","0.75%"
"Nov 29, 2016","7,108.70","7,154.80","7,198.50","7,012.30","79.21K","-0.64%"
"Nov 28, 2016","7,154.80","7,155.60","7,199.90","7,100.00","686.92K","-0.01%"
"Nov 25, 2016","7,155.60","7,132.30","7,235.00","7,130.00","34.90K","0.33%"
"Nov 24, 2016","7,132.30","7,263.70","7,250.00","7,100.00","37.22K","-1.81%"
"Nov 23, 2016","7,263.70","7,211.10","7,278.00","7,200.00","395.91K","0.73%"
"Nov 22, 2016","7,211.10","7,153.60","7,296.00","7,154.00","147.33K","0.80%"
"Nov 21, 2016","7,153.60","7,068.80","7,200.10","6,845.00","154.96K","1.20%"
"Nov 18, 2016","7,068.80","6,991.10","7,149.00","6,910.20","137.82K","1.11%"
"Nov 17, 2016","6,991.10","7,009.50","6,999.00","6,901.00","152.03K","-0.26%"
"Nov 16, 2016","7,009.50","6,994.60","7,099.00","6,900.30","240.86K","0.21%"
"Nov 15, 2016","6,994.60","6,827.20","7,148.80","6,823.50","374.60K","2.45%"
"Nov 14, 2016","6,827.20","6,886.00","6,900.00","6,802.00","245.13K","-0.85%"
"Nov 11, 2016","6,886.00","6,999.00","6,999.00","6,850.00","265.25K","-1.61%"
"Nov 10, 2016","6,999.00","7,071.80","7,210.00","6,910.30","414.74K","-1.03%"
"Nov 09, 2016","7,071.80","6,896.70","7,199.00","6,680.00","367.40K","2.54%"
"Nov 08, 2016","6,896.70","6,688.50","6,998.00","6,750.00","413.65K","3.11%"
"Nov 07, 2016","6,688.50","6,643.80","6,788.90","6,656.30","178.47K","0.67%"
"Nov 04, 2016","6,643.80","6,652.40","6,737.00","6,530.00","197.62K","-0.13%"
"Nov 03, 2016","6,652.40","6,797.00","6,787.30","6,625.00","116.97K","-2.13%"
"Nov 02, 2016","6,797.00","7,005.00","6,950.00","6,750.20","227.81K","-2.97%"
"Oct 28, 2016","7,005.00","7,015.30","7,039.80","6,710.00","97.82K","-0.15%"
"Oct 27, 2016","7,015.30","6,934.60","7,030.00","6,934.60","230.63K","1.16%"
"Oct 26, 2016","6,934.60","6,995.20","7,000.00","6,800.00","251.91K","-0.87%"
